"Order Num","Pickup Node","Completed Time Mode 1","Completed Time Mode 2"
"1","12","02:16:45","02:19:05"
"2","15","02:17:14","02:19:44"
"3","24","02:17:43","02:20:03"
"4","47","02:18:13","02:19:03"
"5","54","02:18:43","02:19:53"
"6","15","02:19:13","02:20:13"
"7","41","02:19:43","02:20:33"
"8","8","02:20:12","02:21:22"
"9","50","02:20:51","02:20:51"
"10","38","02:21:11","02:22:41"
"11","3","02:21:41","02:23:51"
"13","48","02:22:39","02:23:09"
"14","50","02:23:09","02:23:29"
"15","34","02:23:39","02:25:59"
"17","26","02:24:38","02:26:28"
"18","28","02:25:07","02:26:27"
"19","52","02:25:37","02:27:27"
"21","15","02:26:36","02:27:46"
"22","21","02:27:06","02:28:26"
"23","17","02:27:36","02:28:26"
"25","52","02:28:35","02:30:55"
"26","28","02:29:04","02:30:14"
"27","35","02:29:34","02:31:54"
"28","23","02:30:04","02:31:14"
"30","6","02:31:03","02:32:43"
"31","53","02:31:32","02:33:22"
"32","42","02:32:01","02:33:01"
"33","39","02:32:31","02:33:51"
"35","6","02:33:29","02:35:19"
"36","47","02:33:59","02:35:49"
"37","11","02:34:29","02:34:49"
"38","41","02:34:58","02:36:58"
"39","52","02:35:28","02:37:18"
"40","38","02:35:57","02:37:07"
"41","41","02:36:37","02:36:37"
"43","2","02:37:26","02:39:06"
"44","39","02:37:56","02:38:16"
"45","34","02:38:25","02:39:25"
"46","51","02:38:55","02:39:25"
"47","5","02:39:25","02:41:45"
"49","15","02:40:24","02:41:24"
"52","2","02:41:53","02:43:13"
"53","10","02:42:22","02:44:22"
"54","28","02:42:51","02:44:11"
"56","12","02:43:50","02:45:10"
"57","51","02:44:20","02:45:40"
"58","26","02:44:50","02:45:30"
"59","2","02:45:20","02:47:10"
"61","54","02:46:19","02:46:39"
"62","8","02:46:48","02:49:18"
"63","52","02:47:18","02:49:18"
"66","36","02:48:47","02:49:57"
"67","54","02:49:16","02:50:56"
"69","39","02:50:14","02:52:34"
"70","42","02:50:44","02:52:04"
"71","41","02:51:13","02:53:23"
"72","27","02:51:42","02:52:22"
"73","21","02:52:11","02:53:31"
"74","30","02:52:40","02:55:10"
"75","54","02:53:10","02:53:30"
"76","18","02:53:40","02:55:30"
"77","44","02:54:10","02:55:20"
"78","26","02:54:39","02:56:39"
"79","14","02:55:09","02:56:09"
"80","8","02:55:39","02:57:49"
"81","45","02:56:18","02:56:18"
"82","4","02:56:37","02:57:07"
"83","9","02:57:06","02:58:36"
"85","2","02:58:05","03:00:15"
"86","52","02:58:34","03:00:44"
"88","44","02:59:33","03:00:23"
"89","23","03:00:02","03:02:22"
"90","35","03:00:31","03:01:41"
"91","45","03:01:01","03:01:21"
"93","29","03:02:00","03:03:10"
"94","33","03:02:29","03:02:59"
"95","29","03:02:59","03:04:09"
"97","54","03:03:58","03:05:38"
"99","28","03:04:56","03:07:16"
"101","36","03:05:55","03:07:05"
"102","44","03:06:25","03:07:35"
"104","18","03:07:24","03:09:54"
"105","18","03:07:54","03:10:14"
"107","26","03:08:53","03:11:03"
"108","17","03:09:23","03:11:03"
"109","54","03:09:52","03:10:52"
"111","41","03:10:51","03:12:41"
"112","23","03:11:21","03:13:01"
"113","4","03:11:51","03:12:31"
"114","51","03:12:21","03:14:11"
"115","36","03:12:51","03:15:01"
"116","22","03:13:20","03:13:40"
"117","18","03:14:00","03:14:00"
"119","17","03:14:49","03:17:19"
"120","54","03:15:18","03:17:48"
"121","9","03:15:47","03:17:47"
"122","15","03:16:17","03:18:07"
